iteration,size,popSize,mutProb,iter,popTop,attack,time,
58,25,300,0.1,7500,0.1,1,8905,
59,25,300,0.1,7500,0.1,1,10179,
60,25,300,0.1,7500,0.1,1,10192,
61,25,300,0.1,7500,0.1,0,5965,
62,25,300,0.1,7500,0.1,1,9572,
63,25,300,0.1,7500,0.1,0,3175,
64,25,300,0.1,7500,0.1,0,3570,
65,25,300,0.1,7500,0.1,0,425,
66,25,300,0.1,7500,0.1,0,1792,
67,25,300,0.1,7500,0.1,1,9635,
68,25,300,0.1,7500,0.1,0,4697,
69,25,300,0.1,7500,0.1,1,9784,
70,25,300,0.1,7500,0.1,0,1069,
71,25,300,0.1,7500,0.1,0,9207,
72,25,300,0.1,7500,0.1,0,715,
73,25,300,0.1,7500,0.1,0,2454,
74,25,300,0.1,7500,0.1,1,9771,
75,25,300,0.1,7500,0.1,0,6430,
76,25,300,0.1,7500,0.1,0,87,
77,25,300,0.1,7500,0.1,0,2067,
78,25,300,0.1,7500,0.1,1,9930,
79,25,300,0.1,7500,0.1,1,9575,
80,25,300,0.1,7500,0.1,0,1176,
81,25,300,0.1,7500,0.1,0,7736,
82,25,300,0.1,7500,0.1,0,998,
83,25,300,0.1,7500,0.1,0,5070,
84,25,300,0.1,7500,0.1,1,9977,
85,25,300,0.1,7500,0.1,1,8645,
86,25,300,0.1,7500,0.1,0,254,
87,25,300,0.1,7500,0.1,1,9343,
88,25,300,0.1,7500,0.1,1,8952,
89,25,300,0.1,7500,0.1,0,7871,
90,25,300,0.1,7500,0.1,1,9036,
91,25,300,0.1,7500,0.1,0,8951,
92,25,300,0.1,7500,0.1,1,9614,
93,25,300,0.1,7500,0.1,1,9309,
94,25,300,0.1,7500,0.1,0,4787,
95,25,300,0.1,7500,0.1,0,2460,
96,25,300,0.1,7500,0.1,0,2242,
97,25,300,0.1,7500,0.1,0,10539,
98,25,300,0.1,7500,0.1,0,1957,
99,25,300,0.1,7500,0.1,1,15660,
100,25,300,0.1,7500,0.1,1,14413,
1,25,300,0.1,10000,0.1,1,21527,
2,25,300,0.1,10000,0.1,0,10353,
3,25,300,0.1,10000,0.1,1,19274,
4,25,300,0.1,10000,0.1,1,20844,
5,25,300,0.1,10000,0.1,0,1299,
6,25,300,0.1,10000,0.1,1,20345,
7,25,300,0.1,10000,0.1,0,1972,
8,25,300,0.1,10000,0.1,0,452,
9,25,300,0.1,10000,0.1,1,20564,
10,25,300,0.1,10000,0.1,1,20185,
11,25,300,0.1,10000,0.1,0,3782,
12,25,300,0.1,10000,0.1,1,20409,
13,25,300,0.1,10000,0.1,0,6799,
14,25,300,0.1,10000,0.1,0,3573,
15,25,300,0.1,10000,0.1,0,14542,
16,25,300,0.1,10000,0.1,1,20664,
17,25,300,0.1,10000,0.1,0,4777,
18,25,300,0.1,10000,0.1,0,2170,
19,25,300,0.1,10000,0.1,0,6403,
20,25,300,0.1,10000,0.1,0,1987,
21,25,300,0.1,10000,0.1,0,12129,
22,25,300,0.1,10000,0.1,0,16633,
23,25,300,0.1,10000,0.1,1,20456,
24,25,300,0.1,10000,0.1,0,3233,
25,25,300,0.1,10000,0.1,0,4500,
26,25,300,0.1,10000,0.1,0,752,
27,25,300,0.1,10000,0.1,0,257,
28,25,300,0.1,10000,0.1,0,3926,
29,25,300,0.1,10000,0.1,1,20294,
30,25,300,0.1,10000,0.1,0,5432,
31,25,300,0.1,10000,0.1,0,7546,
32,25,300,0.1,10000,0.1,0,2627,
33,25,300,0.1,10000,0.1,1,21573,
34,25,300,0.1,10000,0.1,0,3073,
35,25,300,0.1,10000,0.1,0,5684,
36,25,300,0.1,10000,0.1,0,10987,
37,25,300,0.1,10000,0.1,0,14151,
38,25,300,0.1,10000,0.1,1,18739,
39,25,300,0.1,10000,0.1,1,20543,
40,25,300,0.1,10000,0.1,1,19264,
41,25,300,0.1,10000,0.1,0,5044,
42,25,300,0.1,10000,0.1,0,8471,
43,25,300,0.1,10000,0.1,0,4829,
44,25,300,0.1,10000,0.1,0,352,
45,25,300,0.1,10000,0.1,0,10329,
46,25,300,0.1,10000,0.1,0,6972,
47,25,300,0.1,10000,0.1,0,6902,
48,25,300,0.1,10000,0.1,0,8358,
49,25,300,0.1,10000,0.1,0,17135,
50,25,300,0.1,10000,0.1,1,21825,
51,25,300,0.1,10000,0.1,0,11591,
52,25,300,0.1,10000,0.1,0,2843,
53,25,300,0.1,10000,0.1,0,20530,
54,25,300,0.1,10000,0.1,0,15295,
55,25,300,0.1,10000,0.1,0,2471,
56,25,300,0.1,10000,0.1,1,20320,
57,25,300,0.1,10000,0.1,1,21238,
58,25,300,0.1,10000,0.1,0,8296,
59,25,300,0.1,10000,0.1,0,264,
60,25,300,0.1,10000,0.1,1,20851,
61,25,300,0.1,10000,0.1,0,8838,
62,25,300,0.1,10000,0.1,1,20496,
63,25,300,0.1,10000,0.1,0,8826,
64,25,300,0.1,10000,0.1,0,561,
65,25,300,0.1,10000,0.1,0,6899,
66,25,300,0.1,10000,0.1,1,19531,
67,25,300,0.1,10000,0.1,0,2245,
68,25,300,0.1,10000,0.1,1,19907,
69,25,300,0.1,10000,0.1,2,19781,
70,25,300,0.1,10000,0.1,1,18784,
71,25,300,0.1,10000,0.1,0,633,
72,25,300,0.1,10000,0.1,0,18005,
73,25,300,0.1,10000,0.1,1,23048,
74,25,300,0.1,10000,0.1,0,4378,
75,25,300,0.1,10000,0.1,1,20511,
76,25,300,0.1,10000,0.1,0,5125,
77,25,300,0.1,10000,0.1,0,3518,
78,25,300,0.1,10000,0.1,0,8322,
79,25,300,0.1,10000,0.1,1,19383,
80,25,300,0.1,10000,0.1,0,6379,
81,25,300,0.1,10000,0.1,1,21748,
82,25,300,0.1,10000,0.1,1,21829,
83,25,300,0.1,10000,0.1,0,2697,
84,25,300,0.1,10000,0.1,1,21155,
85,25,300,0.1,10000,0.1,1,21749,
86,25,300,0.1,10000,0.1,0,7051,
87,25,300,0.1,10000,0.1,0,8967,
88,25,300,0.1,10000,0.1,1,21824,
89,25,300,0.1,10000,0.1,1,21547,
90,25,300,0.1,10000,0.1,0,799,
91,25,300,0.1,10000,0.1,0,4384,
92,25,300,0.1,10000,0.1,1,19498,
93,25,300,0.1,10000,0.1,0,18715,
94,25,300,0.1,10000,0.1,0,6546,
95,25,300,0.1,10000,0.1,0,11957,
96,25,300,0.1,10000,0.1,0,3877,
97,25,300,0.1,10000,0.1,0,6553,
98,25,300,0.1,10000,0.1,0,1462,
99,25,300,0.1,10000,0.1,0,15679,
100,25,300,0.1,10000,0.1,0,7866,
