iteration,size,popSize,mutProb,iter,popTop,attack,time,
17,25,300,0.25,5000,0.1,0,890,
18,25,300,0.25,5000,0.1,1,9697,
19,25,300,0.25,5000,0.1,0,905,
20,25,300,0.25,5000,0.1,0,413,
21,25,300,0.25,5000,0.1,0,5068,
22,25,300,0.25,5000,0.1,0,334,
23,25,300,0.25,5000,0.1,0,5688,
24,25,300,0.25,5000,0.1,0,3737,
25,25,300,0.25,5000,0.1,0,997,
26,25,300,0.25,5000,0.1,0,2587,
27,25,300,0.25,5000,0.1,0,1762,
28,25,300,0.25,5000,0.1,0,1169,
29,25,300,0.25,5000,0.1,0,1064,
30,25,300,0.25,5000,0.1,1,9269,
31,25,300,0.25,5000,0.1,1,9853,
32,25,300,0.25,5000,0.1,0,4534,
33,25,300,0.25,5000,0.1,0,942,
34,25,300,0.25,5000,0.1,0,2380,
35,25,300,0.25,5000,0.1,1,9386,
36,25,300,0.25,5000,0.1,0,1400,
37,25,300,0.25,5000,0.1,0,3796,
38,25,300,0.25,5000,0.1,0,2454,
39,25,300,0.25,5000,0.1,0,4357,
40,25,300,0.25,5000,0.1,0,410,
41,25,300,0.25,5000,0.1,0,2975,
42,25,300,0.25,5000,0.1,1,9266,
43,25,300,0.25,5000,0.1,0,295,
44,25,300,0.25,5000,0.1,0,4801,
45,25,300,0.25,5000,0.1,1,8842,
46,25,300,0.25,5000,0.1,0,635,
47,25,300,0.25,5000,0.1,0,4863,
48,25,300,0.25,5000,0.1,0,1314,
49,25,300,0.25,5000,0.1,0,3964,
50,25,300,0.25,5000,0.1,1,9106,
51,25,300,0.25,5000,0.1,0,761,
52,25,300,0.25,5000,0.1,0,8295,
53,25,300,0.25,5000,0.1,0,376,
54,25,300,0.25,5000,0.1,0,2429,
55,25,300,0.25,5000,0.1,0,2037,
56,25,300,0.25,5000,0.1,0,2037,
57,25,300,0.25,5000,0.1,0,7793,
58,25,300,0.25,5000,0.1,0,5481,
59,25,300,0.25,5000,0.1,0,4983,
60,25,300,0.25,5000,0.1,0,1785,
61,25,300,0.25,5000,0.1,0,5538,
62,25,300,0.25,5000,0.1,0,2658,
63,25,300,0.25,5000,0.1,0,834,
64,25,300,0.25,5000,0.1,1,9785,
65,25,300,0.25,5000,0.1,0,7092,
66,25,300,0.25,5000,0.1,0,6993,
67,25,300,0.25,5000,0.1,0,124,
68,25,300,0.25,5000,0.1,1,9787,
69,25,300,0.25,5000,0.1,0,1287,
70,25,300,0.25,5000,0.1,1,9382,
71,25,300,0.25,5000,0.1,1,9279,
72,25,300,0.25,5000,0.1,0,4315,
73,25,300,0.25,5000,0.1,1,10579,
74,25,300,0.25,5000,0.1,1,9989,
75,25,300,0.25,5000,0.1,0,3624,
76,25,300,0.25,5000,0.1,0,8556,
77,25,300,0.25,5000,0.1,1,9159,
78,25,300,0.25,5000,0.1,0,1921,
79,25,300,0.25,5000,0.1,0,4699,
80,25,300,0.25,5000,0.1,0,7475,
81,25,300,0.25,5000,0.1,1,9122,
82,25,300,0.25,5000,0.1,0,189,
83,25,300,0.25,5000,0.1,1,9598,
84,25,300,0.25,5000,0.1,0,2697,
85,25,300,0.25,5000,0.1,0,216,
86,25,300,0.25,5000,0.1,0,6681,
87,25,300,0.25,5000,0.1,1,10157,
88,25,300,0.25,5000,0.1,0,8896,
89,25,300,0.25,5000,0.1,0,6395,
90,25,300,0.25,5000,0.1,0,2170,
91,25,300,0.25,5000,0.1,0,526,
92,25,300,0.25,5000,0.1,0,2751,
93,25,300,0.25,5000,0.1,0,518,
94,25,300,0.25,5000,0.1,0,8785,
95,25,300,0.25,5000,0.1,0,4707,
96,25,300,0.25,5000,0.1,0,1528,
97,25,300,0.25,5000,0.1,0,1091,
98,25,300,0.25,5000,0.1,0,9135,
99,25,300,0.25,5000,0.1,0,1058,
100,25,300,0.25,5000,0.1,0,586,
